h3_cell,listing_count,unlicensed_rate,mean_price,coef_bw30,coef_bw60,coef_bw101,sig_bw30,sig_bw60,sig_bw101
881ec90e49fffff,6,0.3333333333333333,2745.1666666666665,-0.3769710828042806,-0.26714293003099626,-0.21051958008859772,1,1,1
881ec90e59fffff,39,0.1794871794871795,4198.538461538462,-0.36571208542529776,-0.2803488081756629,-0.21244642590353152,1,1,1
881ec91013fffff,7,0.42857142857142855,4924.142857142857,-0.19085799241703438,-0.19714364993716169,-0.18803981088454452,0,1,1
881ec9101bfffff,12,0.5,4102.083333333333,-0.14634716906262346,-0.1950654041006331,-0.18519804905188436,0,1,1
881ec91035fffff,11,0.6363636363636364,1871.5454545454545,-0.13981494413117312,-0.13662985854173823,-0.13093098294441338,0,0,1
881ec91067fffff,6,0.3333333333333333,6676.0,-0.21481883786337674,-0.14419240486795568,-0.11371026539987059,1,1,1
881ec91081fffff,255,0.24705882352941178,4600.764705882353,-0.34219505107178616,-0.2797717632306329,-0.217990765637032,1,1,1
881ec91083fffff,457,0.24507658643326038,3547.3960612691467,-0.26425895907849,-0.2748403437486069,-0.22872798228992275,1,1,1
881ec91085fffff,13,0.6153846153846154,1806.4615384615386,-0.4306089437720046,-0.2974657087699221,-0.2173578992546993,1,1,1
881ec91087fffff,185,0.32432432432432434,2775.5135135135133,-0.3385667563491395,-0.30475363999148924,-0.227609526853706,1,1,1
